"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"obis",-81.6464,24.5068167,7.3,"Acanthurus chirurgus"
"obis",-83.06315,24.6432333,16,"Acanthurus chirurgus"
"obis",-64.76408,18.31417,6,"Acanthurus chirurgus"
"obis",-67.26918,18.35743,2.74,"Acanthurus chirurgus"
"obis",-80.4081333,24.98935,18,"Acanthurus chirurgus"
"obis",-82.9022833,24.59955,6.4,"Acanthurus chirurgus"
"obis",-80.7565,24.7655,5.3,"Acanthurus chirurgus"
"obis",-80.1413832,25.3564,13.9,"Acanthurus chirurgus"
"obis",-80.110047,25.551674,4.4,"Acanthurus chirurgus"
"obis",-82.85974,24.62397,7.9,"Acanthurus chirurgus"
"obis",-80.139512,25.372298,4.6,"Acanthurus chirurgus"
"obis",-80.1276332,25.4084333,8.2,"Acanthurus chirurgus"
"obis",-80.50132,24.92419,11.5,"Acanthurus chirurgus"
"obis",-67.2702598,18.3477174,13.1,"Acanthurus chirurgus"
"obis",-65.581883,18.092483,13.1,"Acanthurus chirurgus"
"obis",-80.94525,24.6779167,10.2,"Acanthurus chirurgus"
"obis",-81.03249,24.65193,9,"Acanthurus chirurgus"
"obis",-81.7166833,24.4795167,5.5,"Acanthurus chirurgus"
"obis",-81.84362,24.45915,5.8,"Acanthurus chirurgus"
"obis",-80.9346333,24.6973667,4.9,"Acanthurus chirurgus"
"obis",-81.27735,24.5764833,14.2,"Acanthurus chirurgus"
"obis",-83.0208,24.7025333,29.9,"Acanthurus chirurgus"
"obis",-80.4958333,24.9301667,8.7,"Acanthurus chirurgus"
"obis",-80.1483666,25.4863167,3.5,"Acanthurus chirurgus"
"obis",-80.370183,25.020383,2.3,"Acanthurus chirurgus"
"obis",-81.1291,24.6229,8.1,"Acanthurus chirurgus"
"obis",-80.29387,25.1462,3.7,"Acanthurus chirurgus"
"obis",-80.41229,24.99088,4.1,"Acanthurus chirurgus"
